name,size,price,url
Governors Bay Sauvignon Blanc,750ml,13.99,https://www.totalwine.com/wine/deals/white-wine/sauvignon-blanc/governors-bay-sauvignon-blanc/p/139834750?s=304&igrules=true
Kaleidoscope Red Blend California,750ml,14.99,https://www.totalwine.com/wine/new-arrivals/deals/red-wine/red-blend/kaleidoscope-red-blend-california/p/151465750?s=304&igrules=true
Casalino Brunello di Montalcino,750ml,49.99,https://www.totalwine.com/wine/deals/red-wine/sangiovese/casalino-brunello-di-montalcino/p/38249750?s=304&igrules=true
Ed Edmundo Chardonnay,750ml,9.99,https://www.totalwine.com/wine/white-wine/chardonnay/ed-edmundo-chardonnay/p/213640750?s=304&igrules=true
Amici Cabernet Sauvignon Napa,750ml,54.99,https://www.totalwine.com/wine/gift-center/deals/red-wine/cabernet-sauvignon/amici-cabernet-sauvignon-napa/p/20095750?s=304&igrules=true
Silver Ghost Cabernet Sauvignon Napa Valley,750ml,49.99,https://www.totalwine.com/wine/deals/red-wine/cabernet-sauvignon/silver-ghost-cabernet-sauvignon-napa-valley/p/187808750?s=304&igrules=true
1858 Pinot Noir Monterey,750ml,29.99,https://www.totalwine.com/wine/red-wine/pinot-noir/1858-pinot-noir-monterey/p/235167750?s=304&igrules=true
Chateau La Tonnelle Haut Medoc Bordeaux,750ml,19.99,https://www.totalwine.com/wine/deals/red-wine/bordeaux-blend/chateau-la-tonnelle-haut-medoc-bordeaux/p/72701750?s=304&igrules=true
Laudato Pinot Grigio,750ml,16.99,https://www.totalwine.com/wine/new-arrivals/white-wine/pinot-grigio-pinot-gris/laudato-pinot-grigio/p/219512750?s=304&igrules=true
Kia Ora Sauvignon Blanc,750ml,12.99,https://www.totalwine.com/wine/new-arrivals/deals/white-wine/sauvignon-blanc/kia-ora-sauvignon-blanc/p/178686750?s=304&igrules=true
Angeline Sauvignon Blanc Reserve,750ml,14.99,https://www.totalwine.com/wine/deals/white-wine/sauvignon-blanc/angeline-sauvignon-blanc-reserve/p/16989750?s=304&igrules=true
Borrasca Prosecco DOCG,750ml,15.99,https://www.totalwine.com/wine/deals/champagne-sparkling-wine/prosecco/brut/borrasca-prosecco-docg/p/219505750?s=304&igrules=true
Bougrier 'V' Vouvray Chenin Blanc,750ml,15.99,https://www.totalwine.com/wine/deals/white-wine/chenin-blanc/bougrier-v-vouvray-chenin-blanc/p/92397750?s=304&igrules=true
Carson Ridge Cabernet Sauvignon,750ml,13.99,https://www.totalwine.com/wine/deals/red-wine/cabernet-sauvignon/carson-ridge-cabernet-sauvignon/p/133453750?s=304&igrules=true
Double Black Zinfandel Paso Robles,750ml,14.99,https://www.totalwine.com/wine/red-wine/zinfandel/double-black-zinfandel-paso-robles/p/173542750?s=304&igrules=true
Mina Mesa Cabernet Paso Robles,750ml,11.99,https://www.totalwine.com/wine/deals/red-wine/cabernet-sauvignon/mina-mesa-cabernet-paso-robles/p/194460750?s=304&igrules=true
Donnachiara Taurasi Aglianico,750ml,37.99,https://www.totalwine.com/wine/deals/red-wine/aglianico/donnachiara-taurasi-aglianico/p/129852750?s=304&igrules=true
Amici Cabernet Sauvignon Napa Reserve,750ml,129.99,https://www.totalwine.com/wine/deals/red-wine/cabernet-sauvignon/amici-cabernet-sauvignon-napa-reserve/p/134054750?s=304&igrules=true
Pietramerana Sangiovese Toscana IGT,750ml,10.99,https://www.totalwine.com/wine/red-wine/sangiovese/pietramerana-sangiovese-toscana-igt/p/233407750?s=304&igrules=true
John Legend Signature Series by LVE Chardonnay,750ml,14.99,https://www.totalwine.com/wine/white-wine/chardonnay/john-legend-signature-series-by-lve-chardonnay/p/235790750?s=304&igrules=true
Chateau Pierre de Montignac Medoc Bordeaux,750ml,22.99,https://www.totalwine.com/wine/deals/red-wine/bordeaux-blend/chateau-pierre-de-montignac-medoc-bordeaux/p/132101750?s=304&igrules=true
River Road Pinot Noir Stephanie's Russian River Valley,750ml,29.99,https://www.totalwine.com/wine/red-wine/pinot-noir/river-road-pinot-noir-stephanies-russian-river-valley/p/88320750?s=304&igrules=true
Chateau Bois Chantant Bordeaux Superieur,750ml,16.99,https://www.totalwine.com/wine/red-wine/bordeaux-blend/chateau-bois-chantant-bordeaux-superieur/p/108100750?s=304&igrules=true
Mascota Vineyards La Mascota Cabernet Sauvignon,750ml,15.99,https://www.totalwine.com/wine/red-wine/cabernet-sauvignon/mascota-vineyards-la-mascota-cabernet-sauvignon/p/130009750?s=304&igrules=true
Iter Cabernet Napa,750ml,21.99,https://www.totalwine.com/wine/deals/new-arrivals/red-wine/cabernet-sauvignon/iter-cabernet-napa/p/142211750?s=304&igrules=true
Borrasca Prosecco Rose,750ml,16.99,https://www.totalwine.com/wine/deals/champagne-sparkling-wine/prosecco/rose/borrasca-prosecco-rose/p/231153750?s=304&igrules=true
Mailly Brut Reserve Grand Cru Champagne,750ml,51.99,https://www.totalwine.com/wine/gift-center/champagne-sparkling-wine/champagne/brut/mailly-brut-reserve-grand-cru-champagne/p/108998750?s=304&igrules=true
Harvester Cabernet Sauvignon Paso Robles,750ml,19.99,https://www.totalwine.com/wine/deals/red-wine/cabernet-sauvignon/harvester-cabernet-sauvignon-paso-robles/p/134058750?s=304&igrules=true
Framingham Marlborough Sauvignon Blanc,750ml,19.99,https://www.totalwine.com/wine/deals/gift-center/white-wine/sauvignon-blanc/framingham-marlborough-sauvignon-blanc/p/104424750?s=304&igrules=true
River Road Chardonnay Double Oaked,750ml,17.99,https://www.totalwine.com/wine/white-wine/chardonnay/river-road-chardonnay-double-oaked/p/188030750?s=304&igrules=true
Atrevida Chardonnay Unoaked,750ml,14.99,https://www.totalwine.com/wine/white-wine/chardonnay/atrevida-chardonnay-unoaked/p/139941750?s=304&igrules=true
Borrasca Brut Cava,750ml,10.99,https://www.totalwine.com/wine/champagne-sparkling-wine/cava/brut/borrasca-brut-cava/p/178706750?s=304&igrules=true
Pietramerana Toscana IGT Governo All 'Uso Toscano,750ml,10.99,https://www.totalwine.com/wine/red-wine/sangiovese/pietramerana-toscana-igt-governo-all-uso-toscano/p/233409750?s=304&igrules=true
Amici Pinot Noir Russian River Valley,750ml,44.99,https://www.totalwine.com/wine/deals/red-wine/pinot-noir/amici-pinot-noir-russian-river-valley/p/35306750?s=304&igrules=true
Domaine Loubejac Pinot Noir Willamette Valley,750ml,21.49,https://www.totalwine.com/wine/deals/red-wine/pinot-noir/domaine-loubejac-pinot-noir-willamette-valley/p/130390750?s=304&igrules=true
1858 Red Blend,750ml,24.99,https://www.totalwine.com/wine/deals/red-wine/red-blend/1858-red-blend/p/232279750?s=304&igrules=true
Conscious Pinot Noir,750ml,15.99,https://www.totalwine.com/wine/deals/red-wine/pinot-noir/conscious-pinot-noir/p/223933750?s=304&igrules=true
Armani Pinot Grigio Friuli,750ml,13.99,https://www.totalwine.com/wine/deals/white-wine/pinot-grigio-pinot-gris/armani-pinot-grigio-friuli/p/14444750?s=304&igrules=true
Courtney Benham Chardonnay Napa,750ml,19.99,https://www.totalwine.com/wine/deals/white-wine/chardonnay/courtney-benham-chardonnay-napa/p/124682750?s=304&igrules=true
Post Summit Chardonnay Arroyo Seco,750ml,19.99,https://www.totalwine.com/wine/white-wine/chardonnay/post-summit-chardonnay-arroyo-seco/p/235925750?s=304&igrules=true
Guy Mousset Cotes du Rhone Rose,750ml,14.99,https://www.totalwine.com/wine/deals/rose-blush-wine/grenache/guy-mousset-cotes-du-rhone-rose/p/94859750?s=304&igrules=true
River Road Chardonnay Unoaked,750ml,14.99,https://www.totalwine.com/wine/deals/white-wine/chardonnay/river-road-chardonnay-unoaked/p/116827750?s=304&igrules=true
Wild Coast Sauvignon Blanc,750ml,8.99,https://www.totalwine.com/wine/white-wine/sauvignon-blanc/wild-coast-sauvignon-blanc/p/244080750?s=304&igrules=true
Val Do Sosego Albarino Rias Baixas,750ml,18.99,https://www.totalwine.com/wine/deals/white-wine/albarino/val-do-sosego-albarino-rias-baixas/p/98494750?s=304&igrules=true
Renieri Brunello di Montalcino Riserva,750ml,104.99,https://www.totalwine.com/wine/deals/red-wine/sangiovese/renieri-brunello-di-montalcino-riserva/p/235910750?s=304&igrules=true
Louis Bouillot Perle d'Aurore Brut Rose,750ml,25.99,https://www.totalwine.com/wine/gift-center/deals/champagne-sparkling-wine/sparkling-wine/rose/louis-bouillot-perle-daurore-brut-rose/p/98321750?s=304&igrules=true
Carmen Gran Reserva Pinot Noir,750ml,17.99,https://www.totalwine.com/wine/red-wine/pinot-noir/carmen-gran-reserva-pinot-noir/p/233766750?s=304&igrules=true
Martin Ray Pinot Noir Sonoma,750ml,23.99,https://www.totalwine.com/wine/red-wine/pinot-noir/martin-ray-pinot-noir-sonoma/p/152209750?s=304&igrules=true
Parcelica Chica Monastrell,750ml,14.99,https://www.totalwine.com/wine/new-arrivals/deals/red-wine/red-blend/parcelica-chica-monastrell/p/227755750?s=304&igrules=true
Iter Pinot Noir California,750ml,16.99,https://www.totalwine.com/wine/deals/new-arrivals/red-wine/pinot-noir/iter-pinot-noir-california/p/164292750?s=304&igrules=true
Verada Chardonnay Tri-County,750ml,18.99,https://www.totalwine.com/wine/white-wine/chardonnay/verada-chardonnay-tri-county/p/236231750?s=304&igrules=true
Leone D'Oro Vino Nobile di Montepulciano,750ml,24.99,https://www.totalwine.com/wine/deals/red-wine/sangiovese/leone-doro-vino-nobile-di-montepulciano/p/119692750?s=304&igrules=true
